0:Step pulse time, us
1:Step idle delay, ms
2:Step pulse invert, mask
3:Step direction invert, mask
4:Invert step enable pin, bool
5:Invert limit pins, mask
6:Invert probe pin, bool
10:Status report options, mask
11:Junction deviation, mm
12:Arc tolerance, mm
13:Report in inches, bool
14:*Control invert, mask
15:*Coolant invert, mask
16:*Spindle invert, mask
17:*Control PullUp disable. mask
18:*Limit PullUp disable, mask
19:*Probe PullUp disable, mask
20:Soft limits enable, bool
21:Hard limits enable, bool
22:Homing cycle enable, bool
23:Homing direction invert, mask
24:Homing locate feed rate, mm/min
25:Homing search seek rate, mm/min
26:Homing switch debounce delay, mm
27:Homing switch pull-off dist, mm
28:*G73 Retract, mm
29:*Pulse delay, us
30:Max spindle speed, RPM
31:Min spindle speed, RPM
32:Laser-mode enable, bool
33:*PWM Frequency, Hz
34:*PWM Off value, percent
35:*PWM Min value, percent
36:*PWM Max Value, percent
37:*Stepper deenergize, mask
38:*Spindle PPR, int
39:*Enable legacy RT commands, bool
40:*Jog soft limited, bool
41:*Parking enable, bool
42:*Parking axis, int
43:*Homing locate cycles, int
44:*Homing Cycle 1, mask
45:*Homing Cycle 2, mask
46:*Homing Cycle 3, mask
47:*Homing Cycle 4, mask
48:*Homing Cycle 5, mask
49:*Homing Cycle 6, mask
50:*Jog step speed, mm/min
51:*Jog slow speed, mm/min
52:*Jog fast speed, mm/min
53:*Jog step distance, mm
54:*Jog slow distance, mm
55:*Jog fast distance, mm
56:*Parking pullout increment, mm
57:*Parking pullout rate, mm/min
58:*Parking target, mm
59:*Parking fast rate, mm/min
60:*Restore overrides, bool
61:*Ignore door when idle, bool
62:*Sleep enable, bool
63:*Hold actions, mask
64:*Force init alarm, bool
65:*Probing feed override, bool
100:X-axis steps/mm
101:Y-axis steps/mm
102:Z-axis steps/mm
103:A-axis steps/deg
104:B-axis steps/deg
105:C-axis steps/deg
110:X-axis max rate, mm/min
111:Y-axis max rate, mm/min
112:Z-axis max rate, mm/min
113:A-axis max rate, deg/min
114:B-axis max rate, deg/min
115:C-axis max rate, deg/min
120:X-axis acceleration, mm/sec^2
121:Y-axis acceleration, mm/sec^2
122:Z-axis acceleration, mm/sec^2
123:A-axis acceleration, deg/sec^2
124:B-axis acceleration, deg/sec^2
125:C-axis acceleration, deg/sec^2
130:X-axis max travel, mm
131:Y-axis max travel, mm
132:Z-axis max travel, mm
133:A-axis max travel, deg
134:B-axis max travel, deg
135:C-axis max travel, deg
